Text,Level
Student will able to solve the business problems algebraically. ,C3
Student will understand how to work in teams over business problems through algebraic tools.,C2
Students will learn how to use ICT tools in written and oral communication,C2
Students will be able to learn applications of ICT tools in business settings,C2
Students will able to learn how to analyze ethical values by learning the lesson from teachings of Ethics.,C2
Students will be able learn how to do ethical reasoning for making effective decisions,C2
Student will learn the importance of team work and how to work as a team member,C2
Students will learn how to write a good  unified and coherent paragraph,C2
Students will be able to comprehend English reading for effective communication,C2
Students will understand how to deliver an oral presentation,C2
Students will be learn how to read and write critically,C2
Students will be able to understand and respect the behavior of others. ,C2
Student will be able to understand differences of personality  perception and motives.  ,C2
Student will learn the importance of research applications in understanding human behavior. ,C2
Students will learn to reflect on various theories of human behavior.,C2
Students will be able to understand key concepts and theories of motivation  learning  perception  emotions  memory & consciousness.   ,C2
Students will be able to interpret results of business mathematical problems in written. ,C2
Students will be able to apply system of linear equations to solve business problems.  ,C3
Students will be able to use mathematical functions to solve business problems.,C3
Students will be able to recognize ethical implications in financial accounting. ,C2
Student will be analyzing impact of various accounting policies. ,C4
Students will be able to apply accounting of Assets  equity and liabilities and prepare financial statements.,C3
Students will be to distinguish international accounting practices   IFRS and US GAAP,C2
Students will be able to write and present project report.,C3
Students will be able to calculate various financial indicators of companies by using Bloomberg Terminal ,C2
Students will able to critically evaluate assumptions and limitations of various financial tools.,C4
 Students will be able to analyze the various financial situation involving different financial securities.,C4
Students will be able to determine whether the statements of type 'A follows from B' is true or not  using a variety of methods.,C2
Students will be able to communicate fundamental mathematical concepts/analyses of real-world problems to the peers and faculty  orally.,C2
Students will be able to communicate fundamental mathematical concepts/analyses of real-world problems in written.,C2
Students will be able to distinguish a coherent argument from a fallacious one  both in mathematical reasoning and in everyday life,C2
Students will learn how to analyze ethical values by learning the lesson from teachings of Islam.,C2
Students will be able learn how to do ethical reasoning for making effective decisions,C2
Student will learn the importance of team work and how to work as a team member.,C2
Students will be able to learn how to present basic economic concepts ,C2
Students will be able to understand how to collect and analyze economic data at basic level.,C2
Student will be able to understand basic microeconomic concepts.,C2
Students will be able to apply microeconomics concepts to the basic problems. ,C3
Students will learn how history shapes societies and their ethical perspectives,C2
Student will learn the importance of teamwork and how to work as a team member ,C2
Students should be able to understand legal and ethical values in business.,C2
Students should be able to draft basic legal documents.,C2
Students will be able to critically analyze legal issues in business formation and execution,C4
Students will be able to work in teams,C2
Students should be able to understand business laws  company laws  and negotiable instrument act and their implications in business.,C2
Students will be able to present/demonstrate the meaning of international business  globalization and the main arguments/issue in the debate over the impact of globalization.,C2
Critically analyze the international business issues.,C2
Assess the influence of cultural and environmental differences on international business practices and national economic development. ,C2
Apply international business discipline knowledge (e.g.  cultural differences  environmental differences  foreign market entry strategies  international trade theories) to address business challenges. ,C3
Graduates will be able to apply academic integrity in human research. ,C3
Graduates will be able to write a good/thesis empirical research article for SSCI Journals.,C3
Graduates will be able to orally present their final research papers.,C2
Graduates will be able to enter  analyze  and resport/interpret the results of advanced statistical techniques using tools such as SPSS  AMOS  Origin Pro 8.50  and Draw.io for Windows. ,C3
Graduates will be able develop the literature review for their research project/paper,C3
Graduates will be able demonstrate analytical skill in his/her area of research,C3
Define information security and outline its major components,C1
Identify the major types of threats to information security and the associated attacks,C2
Develop strategies to protect organization information assets from common attacks,C3
Understand how security policies  standards and practices are developed,C2
Understand the role of management in enforcing security policies  standards and practices,C2
Identify the major techniques  approaches and tools used to discover network and system vulnerabilities,C2
Apply foot printing  scanning  enumeration and similar techniques to discover network and system vulnerabilities,C3
Understand firewalls and packet filtering,C2
Understand the role of cryptography in information security,C2
Describe the major types of cryptographic algorithms and typical applications,C2
Write code to encrypt and decrypt information using some of the standard algorithms,C2
Develop implementations for some of the common cryptographic algorithms,C3
Understand authentication protocols and processes,C2
Understand how digital signatures are performed and the role of digital certificates,C2
Recognize the need for Risk management,C2
Describe the major components of Risk management,C2
Understand ethical and legal issues,C2
To demonstrate the knowledge of advanced derivative and integration and integrals,C2
To demonstrate the applications of parametric curves and arc length.,C2
To apply the knowledge of vectors and their applications in aeronautical engineering and computer science.,C3
To evaluate the continuity of functions  partial derivatives.,C2
To learn the basic knowledge of analytic geometry and their usage. Graphing of linear function,C2
To learn and apply the applications of limits in graphing., C2
To learn and apply the knowledge of rates of change or differentiation in real life applications to optimize the solution and graphing of non-linear functions analytically.,C3
To evaluate the elementary level integrals,C2
Demonstrate an understanding of fundamental concept of mathematical function  its properties and classes,C2
Apply properties of functions and mathematical techniques to solve real world problems,C3
Demonstrate an understanding of basic trigonometry,C2
Understand the software development process in relation to the fundamental principles and methodologies in software engineering and computer science  including the analysis  design  implementation and testing of contemporary software systems. ,C2
Apply the software process and methods to real-life software development.,C3
An ability to function effectively on teams to accomplish a common goal,C2
An understanding of professional  ethical  legal  security and social issues and responsibilities,C2
An ability to communicate effectively with a range of audiences,C2
Apply the pumping lemma for regular languages to determine if a language is regular ,C3
Convert between grammars and push-down automata for context-free ,C3
Determine if a language is regular or context-free ,C2
Demonstrate that a grammar is ambiguous,C2
Translate a context-free grammar from one form to another ,C3
Produce simple programs for a Turing Machine ,C3
Describe languages mathematically,C2
To understand theoretical and algorithmic design of computer vision algorithms.,C2
To apply acquired computer vision knowledge to propose effective solutions to existing problems in real world problems (such as medical imaging  road safety and autonomous driving etc).,C3
To analyze current state-of-the-art computer vision algorithms and trends to target potential research progression.,C4
To understand basic concepts and process of Data Science.,C2
To understand programming constructs  essential for Data Science,C2
Obtaining data from multiple sources and analyzing data using preprocessing techniques,C3
Understanding fundamentals of statistical and probability,C2
To choose effective solution to design and develop real time applications using ML approaches,C3
Solving case studies  designing real time systems and participating in global competitions (Kaggle),C3
Students will be able to form the differential equations in the form of differential equations from the real world problems of Science and Engineering’s.,C3
Students will be able to solve differential equations through various methods.,C3
Students will learn to analyze the solutions of the differential equations.,C4
Understand core principles of image processing  analysis and concepts (representation  filtering  feature extraction  morphological image processing etc),C2
Capability to apply their knowledge of digital image processing to propose effective solutions to existing problems.,C3
Apply their acquired knowledge to facilitate basic computer vision related tasks (such as segmentation  object detection and human detection etc),C3
To understand and implement various techniques/methods for simplification of logic circuits/expressions/truth tables.,C2
Analyze  understand and design combinational circuits and their applications.,C4
Analyze  understand and design sequential circuits and their applications.,C4
Demonstrate the knowledge of linear and non-linear data structures such as array  list  queue  stack  trees and graphs.,C2
Implement algorithms for the efficient data structures and sorting of data.,C3
Apply suitable data structures in different scenarios.,C3
Understand basic functions of computer hardware and software components including operating system functions,C2
Identify and describe the components of a computer system,C2
Explain the role of system software and application software within computers,C2
Describe various storage media  including appropriate use and management,C2
Explain the difference and relationship between data and information,C2
Identify the usage of emerging hardware and software technologies and how they are being used to solve problems and create efficiency,C2
To understand netiquettes and security and privacy issues of being online ,C2
Students would be able to understand the dogmas of Islam  and concepts and messages behind all the pillars of Islam and use them in different situations.,C2
Students would comprehend the best practical pattern of life of Holy   Prophet     Muhammad (S.A.W) in all the spheres / walks of life in order to communicate the message of the messenger effectively,C2
Students will be able to understand the guidance of Islam with ref to ethical  legal  professional and social matters ,C2
Discuss programming fundamentals and basic terminology used in computer programming,C2
Analyze  design  and solve real world problems in C ++,C3
Apply programming constructs to solve programming problems.,C3
Demonstrate knowledge of the fundamentals of software verification and validation.,C2
Apply modern software verification and validation processes in relation to software development and project management,C3
Use fundamental techniques to implement techniques to extrapolate fundamental techniques in the framework of real world scenarios,C3
Understand basics of project management and software project management ,C2
Applying scheduling techniques to come up with project schedules,C3
Applying cost estimation techniques to come up with project budget ,C3
Understand risk management techniques to come up with plans for graceful handling of risk occurrence,C2
Understand quality management techniques to optimize quality of work ,C2
To understand the logic of mathematical structures ,C2
To apply logicin the proofs of the propositions.,C3
Students will be able to demonstrate ability to identify and analyze ethical issues in organizations. ,C2
Students will be able to communicate and present effectively by understanding the contextual difference in behavior,C3
Students will be able to demonstrate the ability to critically analyze and evaluate behavioral issues in businesses.,C2
Students will able to take part in team based activities.,C2
Students will understand basic Behavioral knowledge to address business challenges.,C2
Understand the fundamentals of object-oriented method for analysis and design,C2
To develop conceptual models such as use case diagram  domain model  sequence diagram  activity diagram  etc. for various scenarios and application  and to evaluate alternate solutions.,C3
To use UML for modeling and notation,C3
Apply the concepts of architectural design for deploying the code for software.,C3
To describe basic concepts of Operating System,C2
To understand fundamental operating system abstractions such as processes  threads  files  semaphores  IPC abstractions  shared memory regions  etc.,C2
To demonstrate concept of operating system through project deliverable,C2
To identify basic shell scripting commands,C2
To apply shell scripting in LINUX,C3
Understand the emergent trends in the software engineering,C2
 Ability to select appropriate software development approaches according to particular situation,C2
Awareness about dependability and security issues,C2
Ability to carry out efficient software project/quality management,C3
Ability to validate designs and adjust the specifications or design as necessary,C3
